mca_1,mca_2,dataset_short_name,session_id,subject_id,behavioral_context,recording_profile_group,recommended_analysis_type,duplicate_profile_count,mca_1_plot,mca_2_plot,categorical_cluster
2.5081663548395414,-3.3483015709249737,openfield_ca1,25398_2019-05-01,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.627761659738293,-3.360992357888069,0
2.508166354839542,-3.348301570924973,openfield_ca1,25398_2019-05-02,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4388998655840823,-3.4311538711510376,0
2.508166354839542,-3.348301570924973,openfield_ca1,25398_2019-05-03,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.58562862320686,-3.4822762065013215,0
2.508166354839541,-3.3483015709249733,openfield_ca1,25398_2019-05-06,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.3735367731102768,-3.3872062036508397,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-05-07,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4813755524406793,-3.352604174990439,0
2.5081663548395414,-3.3483015709249737,openfield_ca1,25398_2019-05-08,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5211866000479417,-3.206867177838583,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-05-09,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5550641413482835,-3.3378796092071426,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-05-10,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.56506448122297,-3.2696824100431288,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-05-11,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5716341336555355,-3.3882452188081054,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-05-14,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.480268349059666,-3.443097072238335,0
2.508166354839541,-3.3483015709249737,openfield_ca1,25398_2019-05-15,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4711782114263756,-3.4255109119035634,0
2.5081663548395414,-3.348301570924973,openfield_ca1,25398_2019-05-16,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.576804425340114,-3.4063196560878333,0
2.5081663548395414,-3.348301570924973,openfield_ca1,25398_2019-06-21,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4928620088490123,-3.17802399233016,0
2.5081663548395414,-3.348301570924973,openfield_ca1,25398_2019-06-24,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4061114489725077,-3.4140125052629235,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-06-25,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.417503377719263,-3.281222434626066,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-06-27,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4346101719594127,-3.4205357451719354,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-06-28,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5479392143638426,-3.273775729895034,0
